# ESA STR-246, October 2005
# Tables of Internal Partition Functions and Thermodynamic Properties
# of High-Temperature Mars-Atmosphere Species from 50K to 50000K
# Capitelli, Colonna, Giordano, Maraffa, Casavola, Minelli, Pagano, Pietanza, Taccogna
#
# Gurvich style based on O2.glob.txt:
#
#   T       Cp        H-H0    -(G-H(0))/T
#  [K]  [J/(mol K)]  [J/mol]   [J/mol/K)]
     50    29.1040     1449.40    124.19
    100    29.1060     2904.60    144.31
    150    29.1100     4360.00    156.09
    200    29.1260     5815.80    164.45
 298.15    29.3770     8683.40    176.07
    300    29.3860     8737.80    176.25
    400    30.1080    11709.00    184.65
    500    31.0920    14768.00    191.21
    600    32.0920    17928.00    196.62
    700    32.9840    21183.00    201.26
    800    33.7380    24520.00    205.32
    900    34.3620    27926.00    208.95
   1000    34.8790    31389.00    212.24
   2000    37.7950    67889.00    234.87
   3000    40.0150   106820.00    248.97
   4000    41.7230   147740.00     259.4
   5000    43.0150   190130.00    267.76
   6000    43.9970   233670.00    274.78
   7000    44.4530   277950.00    280.84
   8000    44.1780   322330.00    286.18
   9000    43.2030   366070.00    290.95
  10000    41.7400   408580.00    295.25
  11000    40.0350   449470.00    299.14
  12000    38.2830   488630.00     302.7
  13000    36.6090   526070.00    305.95
  14000    35.0760   561890.00    308.93
  15000    33.7100   596270.00    311.69
  16000    32.5090   629370.00    314.24
  17000    31.4620   661340.00    316.61
  18000    30.5530   692340.00    318.82
  19000    29.7620   722490.00    320.89
  20000    29.0730   751900.00    322.83
  21000    28.4700   780660.00    324.65
  22000    27.9410   808860.00    326.38
  23000    27.4730   836560.00       328
  24000    27.0570   863830.00    329.54
  25000    26.6870   890690.00       331
  26000    26.3540   917210.00    332.39
  27000    26.0540   943410.00    333.72
  28000    25.7810   969330.00    334.98
  29000    25.5340   994980.00    336.19
  30000    25.3070  1020400.00    337.35
  32000    24.9060  1070600.00    339.53
  34000    24.5640  1120100.00    341.54
  36000    24.2670  1168900.00    343.41
  38000    24.0070  1217200.00    345.15
  40000    23.7780  1264900.00    346.79
  42000    23.5730  1312300.00    348.32
  44000    23.3900  1359200.00    349.76
  46000    23.2250  1405900.00    351.13
  48000    23.0760  1452200.00    352.42
  50000    22.9400  1498200.00    353.65
