# ESA STR-246, October 2005
# Tables of Internal Partition Functions and Thermodynamic Properties
# of High-Temperature Mars-Atmosphere Species from 50K to 50000K
# Capitelli, Colonna, Giordano, Maraffa, Casavola, Minelli, Pagano, Pietanza, Taccogna
#
# Gurvich style based on O250.glob.txt:
#
#   T       Cp        H-H0    -(G-H(0))/T
#  [K]  [J/(mol K)]  [J/mol]   [J/mol/K)]
     50    21.9600     1051.90    98.969
    100    23.7040     2206.90    113.88
    150    23.3590     3387.00    122.94
    200    22.7360     4539.00    129.46
 298.15    21.9120     6725.60     138.5
    300    21.9020     6766.20    138.64
    400    21.4830     8933.10     145.1
    500    21.2570    11069.00    150.06
    600    21.1250    13188.00    154.08
    700    21.0400    15296.00    157.46
    800    20.9840    17397.00    160.37
    900    20.9440    19493.00    162.93
   1000    20.9150    21586.00    165.21
   2000    20.8270    42439.00    180.03
   3000    20.9370    63300.00    188.61
   4000    21.3020    84402.00    194.67
   5000    21.7990   105950.00    199.39
   6000    22.2730   127990.00    203.27
   7000    22.6490   150460.00    206.57
   8000    22.9310   173260.00    209.45
   9000    23.2360   196330.00    212.01
  10000    23.9130   219850.00    214.32
  11000    25.7370   244530.00    216.42
  12000    30.0290   272140.00    218.37
  13000    38.5370   305990.00    220.22
  14000    52.8770   351170.00    222.01
  15000    73.4480   413850.00    223.82
  16000    98.1840   499490.00    225.71
  17000   122.2300   610010.00    227.74
  18000   139.6100   741700.00    229.94
  19000   146.3000   885610.00    232.32
  20000   142.1500  1030600.00    234.83
  21000   130.2300  1167300.00    237.45
  22000   114.5600  1289900.00    240.11
  23000    98.3930  1396300.00    242.77
  24000    83.6600  1487100.00    245.38
  25000    71.1450  1564300.00    247.92
  26000    60.9420  1630200.00    250.38
  27000    52.8190  1686900.00    252.74
  28000    46.4290  1736400.00    255.01
  29000    41.4260  1780200.00    257.17
  30000    37.5100  1819600.00    259.24
  32000    32.0110  1888700.00    263.11
  34000    28.5510  1949000.00    266.63
  36000    26.3140  2003700.00    269.86
  38000    24.8270  2054800.00    272.83
  40000    23.8120  2103400.00    275.56
  42000    23.1010  2150200.00     278.1
  44000    22.5910  2195900.00    280.45
  46000    22.2190  2240700.00    282.64
  48000    21.9400  2284800.00    284.69
  50000    21.7290  2328500.00    286.61
