t T p yO2 yO rho
1.030936172099148253e-08 9.999891899879312405e+03 1.379301285757373807e+04 8.889919715152871937e-01 1.110080284847127785e-01 4.777880545520456906e-03
2.061872344198296507e-08 9.999783798440146711e+03 1.379296342449950862e+04 8.889839429074553045e-01 1.110160570925445983e-01 4.777880545520456906e-03
4.877543431025311824e-08 9.999488547563605607e+03 1.379282840156675593e+04 8.889620147315931975e-01 1.110379852684066915e-01 4.777880545520456906e-03
7.693214517852327141e-08 9.999193288240925540e+03 1.379269336102661509e+04 8.889400857406208889e-01 1.110599142593790140e-01 4.777880545520456906e-03
1.050888560467934378e-07 9.998898019567939627e+03 1.379255830246349251e+04 8.889181558674188466e-01 1.110818441325811118e-01 4.777880545520456906e-03
1.332455669150635778e-07 9.998602741252201668e+03 1.379242322574197533e+04 8.888962250902577855e-01 1.111037749097422284e-01 4.777880545520456906e-03
1.907245671336604489e-07 9.997999930956817479e+03 1.379214742410561848e+04 8.888514528546228588e-01 1.111485471453771273e-01 4.777880545520456906e-03
2.992856134306015830e-07 9.996861287710276883e+03 1.379162630837550569e+04 8.887668808255134723e-01 1.112331191744865555e-01 4.777880545520456906e-03
5.115782801048801357e-07 9.994634239366558177e+03 1.379060647790007533e+04 8.886014601173158889e-01 1.113985398826841250e-01 4.777880545520456906e-03
7.238709467791586354e-07 9.992406645080154703e+03 1.378958561451309470e+04 8.884359882039237766e-01 1.115640117960762928e-01 4.777880545520456906e-03
9.361636134534372409e-07 9.990178509992107138e+03 1.378856371970685541e+04 8.882704654757437313e-01 1.117295345242563520e-01 4.777880545520456906e-03
1.148456280127715741e-06 9.987949839448918283e+03 1.378754079507472670e+04 8.881048923385755911e-01 1.118951076614244505e-01 4.777880545520456906e-03
1.360748946801994346e-06 9.985720638863083877e+03 1.378651684224720157e+04 8.879392692032764822e-01 1.120607307967235733e-01 4.777880545520456906e-03
1.648333003242945915e-06 9.982699997191764851e+03 1.378512809871445643e+04 8.877148273739066120e-01 1.122851726260934296e-01 4.777880545520456906e-03
1.935917059683897484e-06 9.979678405239321364e+03 1.378373747498502780e+04 8.874902954957805123e-01 1.125097045042195570e-01 4.777880545520456906e-03
2.223501116124848630e-06 9.976655876944991178e+03 1.378234497539667063e+04 8.872656746274015793e-01 1.127343253725985456e-01 4.777880545520456906e-03
2.511085172565800199e-06 9.973632426248543197e+03 1.378095060431402271e+04 8.870409658276503517e-01 1.129590341723497315e-01 4.777880545520456906e-03
3.489136663145107636e-06 9.963343179057452289e+03 1.377619450523890373e+04 8.862761040593893913e-01 1.137238959406106781e-01 4.777880545520456906e-03
4.467188153724414649e-06 9.953043950986666459e+03 1.377141697570734686e+04 8.855102776080173710e-01 1.144897223919827539e-01 4.777880545520456906e-03
5.445239644303721662e-06 9.942735271224426469e+03 1.376661818494588806e+04 8.847435268180798840e-01 1.152564731819201993e-01 4.777880545520456906e-03
6.423291134883029523e-06 9.932417665506898629e+03 1.376179830387353650e+04 8.839758918344314820e-01 1.160241081655685874e-01 4.777880545520456906e-03
7.401342625462336536e-06 9.922091657515844418e+03 1.375695750575355123e+04 8.832074127051169343e-01 1.167925872948830657e-01 4.777880545520456906e-03
8.379394116041643549e-06 9.911757769089595968e+03 1.375209596629733460e+04 8.824381293962259010e-01 1.175618706037740852e-01 4.777880545520456906e-03
9.357445606620950563e-06 9.901416520040695104e+03 1.374721386358428208e+04 8.816680817774356083e-01 1.183319182225644056e-01 4.777880545520456906e-03
1.111568481468599961e-05 9.882809233883199340e+03 1.373838619189071869e+04 8.802819746876985318e-01 1.197180253123014820e-01 4.777880545520456906e-03
1.287392402275104865e-05 9.864182817886405246e+03 1.372949371499025619e+04 8.788937558371591185e-01 1.211062441628408815e-01 4.777880545520456906e-03
1.463216323081609770e-05 9.845540232994047983e+03 1.372053752077980062e+04 8.775036537252146607e-01 1.224963462747852977e-01 4.777880545520456906e-03
1.639040243888114674e-05 9.826884409836087798e+03 1.371151871752249463e+04 8.761118951036994673e-01 1.238881048963004217e-01 4.777880545520456906e-03
1.814864164694619748e-05 9.808218247138425795e+03 1.370243843295612533e+04 8.747187048382594199e-01 1.252812951617404136e-01 4.777880545520456906e-03
1.990688085501124484e-05 9.789544610734677917e+03 1.369329781364853443e+04 8.733243058142866611e-01 1.266756941857131724e-01 4.777880545520456906e-03
2.166512006307629558e-05 9.770866332111334486e+03 1.368409802408517498e+04 8.719289188077209429e-01 1.280710811922789738e-01 4.777880545520456906e-03
2.342335927114134293e-05 9.752186206628741274e+03 1.367484024555007636e+04 8.705327623312505425e-01 1.294672376687493465e-01 4.777880545520456906e-03
2.518159847920639367e-05 9.733506991797710725e+03 1.366552567498215103e+04 8.691360524843776414e-01 1.308639475156222753e-01 4.777880545520456906e-03
2.897923175826492786e-05 9.693177534153219312e+03 1.364521901193502708e+04 8.661184072032119818e-01 1.338815927967879071e-01 4.777880545520456906e-03
3.171720622565594506e-05 9.664126802771799703e+03 1.363042466944662010e+04 8.639429824158757487e-01 1.360570175841241958e-01 4.777880545520456906e-03
3.445518069304696565e-05 9.635108472281610375e+03 1.361550673829408152e+04 8.617685988477034043e-01 1.382314011522965125e-01 4.777880545520456906e-03
3.719315516043798623e-05 9.606131992477010499e+03 1.360047000737065173e+04 8.595960082314685335e-01 1.404039917685314387e-01 4.777880545520456906e-03
3.993112962782900682e-05 9.577206538300506509e+03 1.358531931160146632e+04 8.574259432723233543e-01 1.425740567276765902e-01 4.777880545520456906e-03
4.266910409522002741e-05 9.548341005014079201e+03 1.357005952388653350e+04 8.552591170909731311e-01 1.447408829090267579e-01 4.777880545520456906e-03
4.540707856261104800e-05 9.519544001883736200e+03 1.355469554587772109e+04 8.530962225585745351e-01 1.469037774414254094e-01 4.777880545520456906e-03
4.814505303000206181e-05 9.490823845564902513e+03 1.353923229819249536e+04 8.509379316128230508e-01 1.490620683871769492e-01 4.777880545520456906e-03
